,SmoothL1Loss,MAE,RMSE,RegLoss,SmoothL1Loss_val,MAE_val,RMSE_val
3,0.007466368134181954,2732.633500536177,3634.714822339344,0.0,0.00964052647080605,3146.3874091132175,3953.7016457933996
4,0.007674456099974062,2783.1516630482206,3685.6078468350547,0.0,0.010371380339116163,3279.1825339330694,4077.195904550062
5,0.008012030554290747,2857.5868572720797,3764.6017103623203,0.0,0.00969041836779408,3214.0654152411444,4008.8830966951637
6,0.008359522825155619,2924.719624446679,3846.3663137390795,0.0,0.011866192998551024,3321.2344440725074,4257.761552964848
7,0.008835554844042744,3025.9196317285737,3954.1295137588804,0.0,0.012672752320338323,3559.0026006223457,4487.346400224284
8,0.009222550598950678,3089.894199947368,4038.0399464830034,0.0,0.014254294095764565,3962.1691702469875,4922.718781370025
9,0.00968233160650456,3185.393341680296,4135.923844966792,0.0,0.0112140659072871,3568.8986533881184,4393.697633659129
10,0.0099594594218002,3228.711342723077,4197.331830027122,0.0,0.014900790463488287,4101.098677626821,5065.728717623462
11,0.010357377720027606,3298.461575276532,4276.507607364014,0.0,0.019302790154274094,4576.51544134479,5748.748543117054
12,0.010583536789623992,3336.760908162408,4321.930694351581,0.0,0.017884511718057796,4461.719465776556,5525.443896367468
13,0.010812137171949817,3388.4621911173745,4367.958867496091,0.0,0.018773043499317684,4497.11849198642,5668.578060088823
14,0.011088130488993372,3426.873125852912,4422.571290052563,0.0,0.019322596361478164,4676.121399656449,5793.494438069615
15,0.011186372648572251,3443.511095177234,4444.390137888825,0.0,0.015876429215249423,4206.047088522145,5183.856420901221
16,0.011407942854281657,3480.2024698866444,4487.983003436506,0.0,0.029003834473157117,5679.329290673366,7036.0993461674125
17,0.01132185291655857,3460.9483404480743,4465.811906649883,0.0,0.017926782265661443,4474.031865626292,5522.439518064012
18,0.010949742184452825,3406.891981622538,4396.613975245844,0.0,0.04629046587449104,7149.923270980005,8943.168290633728
19,0.01114548765385304,3425.274651756998,4424.384751858404,0.0,0.018976169812049505,4619.72926343962,5751.597141692528
